mileage,make,model,fuel,gear,offerType,price,hp,year
55650,39,547,6,1,4,5990,71.0,2015
42000,47,408,6,1,4,5990,60.0,2015
174418,47,348,1,1,4,5990,105.0,2015
179850,20,286,1,1,4,5999,120.0,2015
54777,20,284,6,1,4,5999,60.0,2015
37200,48,201,6,1,4,6000,60.0,2015
45000,57,661,6,1,4,6000,71.0,2015
93000,19,469,6,1,4,6000,69.0,2015
118000,48,283,1,1,4,6000,90.0,2015
100000,22,662,6,1,4,6180,87.0,2015
79100,40,407,6,1,4,6199,80.0,2015
87370,48,283,6,1,4,6199,86.0,2015
157300,19,469,6,1,4,6200,77.0,2015
61880,46,602,6,1,4,6200,71.0,2015
45000,40,407,6,1,4,6200,80.0,2015
132000,20,284,1,1,4,6250,95.0,2015
77559,41,236,6,1,4,6290,69.0,2015
42000,20,380,6,1,4,13790,120.0,2016
147000,5,32,1,1,4,13999,190.0,2016
88250,41,110,1,1,4,14390,136.0,2016
106000,41,653,1,0,4,14750,170.0,2016
46100,41,412,1,1,4,14950,136.0,2016
52500,41,412,1,1,4,15250,136.0,2016
142000,5,36,1,0,4,16490,258.0,2016
38500,54,585,6,1,4,16500,110.0,2016
136498,20,514,1,0,4,18450,179.0,2016
112300,4,86,1,0,4,18450,190.0,2016
12600,20,596,1,1,4,19900,155.0,2016
210000,5,61,1,0,4,19900,258.0,2016
9350,37,296,6,1,4,19950,122.0,2016
34300,37,78,6,0,4,20899,102.0,2016
139500,5,45,1,0,4,21700,258.0,2016
133500,4,89,1,0,4,22350,272.0,2016
93500,5,57,1,0,4,23999,184.0,2016
188500,5,62,1,0,4,24499,313.0,2016
98500,54,569,1,1,4,28850,102.0,2016
16500,37,259,1,0,4,30888,194.0,2017
67500,37,259,1,0,4,30888,194.0,2017
49000,20,286,6,1,4,30900,349.0,2017
49500,37,139,6,0,4,31290,211.0,2017
59658,37,140,6,0,4,31487,245.0,2017
27000,20,380,1,0,4,31690,179.0,2017
53501,55,639,1,0,4,31899,190.0,2017
67000,37,83,6,0,4,31900,381.0,2017
50000,37,303,1,0,4,32666,204.0,2017
27491,20,286,6,1,4,32900,349.0,2017
45000,4,516,6,0,4,32900,310.0,2017
71494,37,304,1,0,4,32980,258.0,2017
36977,55,617,6,0,4,33280,254.0,2017
22181,55,639,1,0,4,33590,220.0,2017
29973,4,86,6,0,4,33650,252.0,2017
86900,55,640,1,0,4,33749,235.0,2017
86419,4,473,1,0,4,33920,190.0,2017
113000,4,532,1,0,4,33990,326.0,2017
43990,55,639,1,0,4,34760,220.0,2017
38951,37,303,1,0,4,36490,204.0,2017
32000,12,111,6,0,4,33900,300.0,2018
125000,37,608,1,0,4,33980,163.0,2018
51050,5,57,1,0,4,33990,190.0,2018
87107,4,89,1,0,4,34400,272.0,2018
27586,4,88,6,0,4,34589,190.0,2018
74426,4,473,1,0,4,34820,163.0,2018
87582,4,88,1,0,4,34820,218.0,2018
54000,37,139,6,0,4,34900,211.0,2018
107496,55,640,1,0,4,34980,235.0,2018
45726,20,273,1,0,4,34990,209.0,2018
18202,20,273,1,0,4,34990,209.0,2018
99862,4,89,1,0,4,35740,326.0,2018
36605,55,613,6,0,4,35989,250.0,2018
32950,55,617,1,0,4,36450,235.0,2018
84689,4,89,1,0,4,36550,320.0,2018
30797,37,303,6,0,4,36770,211.0,2018
